,date,country,state,confirmed,deaths,recovered,month_year
0,2020-02-27,Nigeria,Abia,0,0,0,2020-02
1,2020-02-27,Nigeria,Adamawa,0,0,0,2020-02
2,2020-02-27,Nigeria,Akwa Ibom,0,0,0,2020-02
3,2020-02-27,Nigeria,Anambra,0,0,0,2020-02
4,2020-02-27,Nigeria,Bauchi,0,0,0,2020-02
5,2020-02-27,Nigeria,Bayelsa,0,0,0,2020-02
6,2020-02-27,Nigeria,Benue,0,0,0,2020-02
7,2020-02-27,Nigeria,Borno,0,0,0,2020-02
8,2020-02-27,Nigeria,Cross River,0,0,0,2020-02
9,2020-02-27,Nigeria,Delta,0,0,0,2020-02
10,2020-02-27,Nigeria,Ebonyi,0,0,0,2020-02
11,2020-02-27,Nigeria,Edo,0,0,0,2020-02
12,2020-02-27,Nigeria,Ekiti,0,0,0,2020-02
13,2020-02-27,Nigeria,Enugu,0,0,0,2020-02
14,2020-02-27,Nigeria,Federal Capital Territory,0,0,0,2020-02
15,2020-02-27,Nigeria,Gombe,0,0,0,2020-02
16,2020-02-27,Nigeria,Imo,0,0,0,2020-02
17,2020-02-27,Nigeria,Jigawa,0,0,0,2020-02
18,2020-02-27,Nigeria,Kaduna,0,0,0,2020-02
19,2020-02-27,Nigeria,Kano,0,0,0,2020-02
20,2020-02-27,Nigeria,Katsina,0,0,0,2020-02
21,2020-02-27,Nigeria,Kebbi,0,0,0,2020-02
22,2020-02-27,Nigeria,Kogi,0,0,0,2020-02
23,2020-02-27,Nigeria,Kwara,0,0,0,2020-02
24,2020-02-27,Nigeria,Lagos,0,0,0,2020-02
25,2020-02-27,Nigeria,Nasarawa,0,0,0,2020-02
26,2020-02-27,Nigeria,Niger,0,0,0,2020-02
27,2020-02-27,Nigeria,Ogun,1,0,0,2020-02
28,2020-02-27,Nigeria,Osun,0,0,0,2020-02
29,2020-02-27,Nigeria,Ondo,0,0,0,2020-02
30,2020-02-27,Nigeria,Oyo,0,0,0,2020-02
31,2020-02-27,Nigeria,Plateau,0,0,0,2020-02
32,2020-02-27,Nigeria,Rivers,0,0,0,2020-02
33,2020-02-27,Nigeria,Sokoto,0,0,0,2020-02
34,2020-02-27,Nigeria,Taraba,0,0,0,2020-02
35,2020-02-27,Nigeria,Yobe,0,0,0,2020-02
36,2020-02-27,Nigeria,Zamfara,0,0,0,2020-02
37,2020-02-28,Nigeria,Abia,0,0,0,2020-02
38,2020-02-28,Nigeria,Adamawa,0,0,0,2020-02
39,2020-02-28,Nigeria,Akwa Ibom,0,0,0,2020-02
40,2020-02-28,Nigeria,Anambra,0,0,0,2020-02
41,2020-02-28,Nigeria,Bauchi,0,0,0,2020-02
42,2020-02-28,Nigeria,Bayelsa,0,0,0,2020-02
43,2020-02-28,Nigeria,Benue,0,0,0,2020-02
44,2020-02-28,Nigeria,Borno,0,0,0,2020-02
45,2020-02-28,Nigeria,Cross River,0,0,0,2020-02
46,2020-02-28,Nigeria,Delta,0,0,0,2020-02
47,2020-02-28,Nigeria,Ebonyi,0,0,0,2020-02
48,2020-02-28,Nigeria,Edo,0,0,0,2020-02
49,2020-02-28,Nigeria,Ekiti,0,0,0,2020-02
50,2020-02-28,Nigeria,Enugu,0,0,0,2020-02
51,2020-02-28,Nigeria,Federal Capital Territory,0,0,0,2020-02
52,2020-02-28,Nigeria,Gombe,0,0,0,2020-02
53,2020-02-28,Nigeria,Imo,0,0,0,2020-02
54,2020-02-28,Nigeria,Jigawa,0,0,0,2020-02
55,2020-02-28,Nigeria,Kaduna,0,0,0,2020-02
56,2020-02-28,Nigeria,Kano,0,0,0,2020-02
57,2020-02-28,Nigeria,Katsina,0,0,0,2020-02
58,2020-02-28,Nigeria,Kebbi,0,0,0,2020-02
59,2020-02-28,Nigeria,Kogi,0,0,0,2020-02
60,2020-02-28,Nigeria,Kwara,0,0,0,2020-02
61,2020-02-28,Nigeria,Lagos,0,0,0,2020-02
62,2020-02-28,Nigeria,Nasarawa,0,0,0,2020-02
63,2020-02-28,Nigeria,Niger,0,0,0,2020-02
64,2020-02-28,Nigeria,Ogun,0,0,0,2020-02
65,2020-02-28,Nigeria,Osun,0,0,0,2020-02
66,2020-02-28,Nigeria,Ondo,0,0,0,2020-02
67,2020-02-28,Nigeria,Oyo,0,0,0,2020-02
68,2020-02-28,Nigeria,Plateau,0,0,0,2020-02
69,2020-02-28,Nigeria,Rivers,0,0,0,2020-02
70,2020-02-28,Nigeria,Sokoto,0,0,0,2020-02
71,2020-02-28,Nigeria,Taraba,0,0,0,2020-02
72,2020-02-28,Nigeria,Yobe,0,0,0,2020-02
73,2020-02-28,Nigeria,Zamfara,0,0,0,2020-02
74,2020-02-29,Nigeria,Abia,0,0,0,2020-02
75,2020-02-29,Nigeria,Adamawa,0,0,0,2020-02
76,2020-02-29,Nigeria,Akwa Ibom,0,0,0,2020-02
77,2020-02-29,Nigeria,Anambra,0,0,0,2020-02
78,2020-02-29,Nigeria,Bauchi,0,0,0,2020-02
79,2020-02-29,Nigeria,Bayelsa,0,0,0,2020-02
80,2020-02-29,Nigeria,Benue,0,0,0,2020-02
81,2020-02-29,Nigeria,Borno,0,0,0,2020-02
82,2020-02-29,Nigeria,Cross River,0,0,0,2020-02
83,2020-02-29,Nigeria,Delta,0,0,0,2020-02
84,2020-02-29,Nigeria,Ebonyi,0,0,0,2020-02
85,2020-02-29,Nigeria,Edo,0,0,0,2020-02
86,2020-02-29,Nigeria,Ekiti,0,0,0,2020-02
